figure_panel,frequency_band,monkey_id,area,time_ms,condition,mean_cp,sem_cp,source_file,notes
FigS1,high_gamma,Monkey_Y,MT,180.0,post,0.5041007542731497,0.0068094643768977,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,200.0,pre,0.5105796057402208,0.009038430018752,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,200.0,post,0.5028763751908177,0.0036242733495799,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,220.0,pre,0.5069401501545049,0.0079710740119736,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,220.0,post,0.5014414713113058,0.0017191457147937,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,240.0,pre,0.5080961938250425,0.0059798459680759,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,240.0,post,0.4992628331634168,0.0017921553142823,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,260.0,pre,0.5130643402322149,0.0075451957536062,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,260.0,post,0.5008343256485417,0.0028233594004673,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,280.0,pre,0.5127253885996442,0.0080336023834191,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,280.0,post,0.5018041998190865,0.0046519457113188,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,300.0,pre,0.5072445047660359,0.0079419383906992,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,300.0,post,0.4996936177891665,0.0054160913912459,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,320.0,pre,0.4982726215455673,0.0105415192859592,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,320.0,post,0.4972422620675233,0.0060804404566149,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,340.0,pre,0.4912640860965102,0.0099916160767666,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,340.0,post,0.496122743744512,0.0078462183224683,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,360.0,pre,0.478953554972424,0.0099333871067403,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
FigS1,high_gamma,Monkey_Y,MT,360.0,post,0.4964577115431992,0.0072880739307342,highgamma_mkywise.csv,Monkey-wise CP trace used for Supplementary Figures 1-3.
