figure_panel,old_figure_panel,monkey_id,area,condition,previous_trial_outcome,frequency_band,epoch_start_ms,epoch_end_ms,frequency_min_hz,frequency_max_hz,matrix_row_zero_based,matrix_column_zero_based,matrix_row_one_based,matrix_column_one_based,cp
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,7,28,8,29,0.517339035376216
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,8,4,9,5,0.506242354163611
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,8,5,9,6,0.507101817250721
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,8,6,9,7,0.506496465620794
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,8,7,9,8,0.508251317497235
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,8,8,9,9,0.5073605575926
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,8,9,9,10,0.514142017360347
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,8,10,9,11,0.52278299775948
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,8,11,9,12,0.532450910021707
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,8,12,9,13,0.540353327916118
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,8,13,9,14,0.53922434916824
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,8,14,9,15,0.532726220772873
Fig4D,Fig5A,Monkey_Y,MT,pre,rewarded,alpha_beta,-300,0,5,30,8,15,9,16,0.529442940063011
