figure_panel,frequency_band,area,time_ms,condition,mean_cp,sem_cp,source_monkeys,source_role
Fig3B,low_gamma,V4,-160.0,pre,0.4966201840379604,0.0112489684208179,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-140.0,post,0.4741832709436192,0.0076433959788163,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-140.0,pre,0.4878544737978196,0.0115361892034494,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-120.0,post,0.489578678375609,0.0115215949564932,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-120.0,pre,0.4856174744374877,0.0119053165532612,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-100.0,post,0.5055769771743341,0.0132498584608017,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-100.0,pre,0.487337227534722,0.0149091306158956,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-80.0,post,0.5082085546032866,0.0122327964238532,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-80.0,pre,0.4817772578188152,0.0224316321145025,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-60.0,post,0.5044142994101285,0.0108552556208037,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-60.0,pre,0.4676728466145839,0.0277775417323148,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-40.0,post,0.5043470669063664,0.0107505407871901,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-40.0,pre,0.4601276636157883,0.0235785735533244,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-20.0,post,0.5074069338374819,0.0131599741801994,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,-20.0,pre,0.4734888318085596,0.0183943579891939,Monkey_L;Monkey_A,area_timecourse_panel
Fig3B,low_gamma,V4,0.0,post,0.5186478212354807,0.0182303635123931,Monkey_L;Monkey_A,area_timecourse_panel
